Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"
Crime, Drama, Thriller","Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika",20
The Filthy Frank Show,9.9,"
Short, Comedy, Fantasy","George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy",12
Game of Thrones,9.5,"
Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",57
Breaking Bad,9.5,"
Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",49
Rick and Morty,9.4,"
Animation, Adventure, Comedy","Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland",22
The Wire,9.3,"
Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",59
TVF Pitchers,9.3,"
Comedy, Drama","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan",40
Sherlock,9.2,"
Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",88
The Sopranos,9.2,"
Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",55
Avatar: The Last Airbender,9.2,"
Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",23
